x,y,pixel_label,category_label,pixel_predict,category_predict
-6.0,16.0,0,0,1,0
-5.91,16.0,312,1,1,0
-5.82,16.0,417,1,1,0
-5.73,16.0,462,1,1,0
-5.64,16.0,477,1,1,0
-5.55,16.0,336,1,1,0
-5.46,16.0,423,1,1,0
-5.37,16.0,270,1,1,0
-5.28,16.0,378,1,1,0
-5.19,16.0,369,1,1,0
-5.1,16.0,378,1,1,0
-5.01,16.0,426,1,1,0
-4.92,16.0,363,1,1,0
-4.83,16.0,429,1,1,0
-4.74,16.0,369,1,1,0
-4.65,16.0,336,1,1,0
-4.56,16.0,378,1,1,0
-4.47,16.0,363,1,1,0
-4.38,16.0,366,1,1,0
-4.29,16.0,402,1,1,0
-4.2,16.0,351,1,1,0
-4.11,16.0,342,1,1,0
-4.02,16.0,363,1,1,0
-3.93,16.0,312,1,1,0
-3.84,16.0,372,1,1,0
-3.75,16.0,342,1,1,0
-3.66,16.0,282,1,1,0
-3.57,16.0,444,1,1,0
-3.48,16.0,369,1,1,0
-3.39,16.0,375,1,1,0
-3.3,16.0,369,1,1,0
-3.21,16.0,390,1,1,0
-3.12,16.0,435,1,1,0
-3.03,16.0,420,1,1,0
-2.94,16.0,351,1,1,0
-2.85,16.0,351,1,1,0
-2.76,16.0,372,1,1,0
-2.67,16.0,390,1,1,0
-2.58,16.0,447,1,1,0
-2.49,16.0,429,1,1,0
-2.4,16.0,369,1,1,0
-2.31,16.0,312,1,1,0
-2.22,16.0,387,1,1,0
-2.13,16.0,363,1,1,0
-2.04,16.0,345,1,1,0
-1.95,16.0,354,1,1,0
-1.86,16.0,480,1,1,0
-1.77,16.0,411,1,1,0
-1.68,16.0,339,1,1,0
-1.59,16.0,360,1,1,0
-1.5,16.0,384,1,1,0
-1.41,16.0,291,1,1,0
-1.32,16.0,360,1,1,0
-1.23,16.0,360,1,1,0
-1.14,16.0,372,1,1,0
-1.05,16.0,372,1,1,0
-0.96,16.0,393,1,1,0
-0.87,16.0,342,1,1,0
-0.78,16.0,345,1,1,0
-0.69,16.0,288,1,1,0
-0.6,16.0,285,1,1,0
-0.51,16.0,384,1,1,0
-0.42,16.0,387,1,1,0
-0.33,16.0,426,1,1,0
-0.24,16.0,423,1,1,0
-0.15,16.0,402,1,1,0
-0.06,16.0,333,1,1,0
0.03,16.0,357,1,1,0
0.12,16.0,396,1,1,0
0.21,16.0,279,1,1,0
0.3,16.0,279,1,1,0
0.39,16.0,300,1,1,0
0.48,16.0,291,1,1,0
0.57,16.0,360,1,1,0
0.66,16.0,438,1,1,0
0.75,16.0,351,1,1,0
0.84,16.0,300,1,1,0
0.93,16.0,393,1,1,0
1.02,16.0,525,1,1,0
1.11,16.0,387,1,1,0
1.2,16.0,354,1,1,0
1.29,16.0,363,1,1,0
1.38,16.0,360,1,1,0
1.47,16.0,324,1,1,0
1.56,16.0,309,1,1,0
1.65,16.0,354,1,1,0
1.74,16.0,333,1,1,0
1.83,16.0,291,1,1,0
1.92,16.0,342,1,1,0
2.01,16.0,360,1,1,0
2.1,16.0,369,1,1,0
2.19,16.0,372,1,1,0
2.28,16.0,327,1,1,0
2.37,16.0,357,1,1,0
2.46,16.0,330,1,1,0
2.55,16.0,354,1,1,0
2.64,16.0,324,1,1,0
2.73,16.0,339,1,1,0
2.82,16.0,405,1,1,0
2.91,16.0,357,1,1,0
3.0,16.0,363,1,1,0
3.0,16.0,0,0,1,0
3.0,15.91,363,1,1,0
3.0,15.82,369,1,1,0
3.0,15.73,309,1,1,0
3.0,15.64,300,1,1,0
3.0,15.55,300,1,1,0
3.0,15.46,357,1,1,0
3.0,15.370999999999999,351,1,1,0
3.0,15.280999999999999,336,1,1,0
3.0,15.190999999999999,363,1,1,0
3.0,15.100999999999999,396,1,1,0
3.0,15.011,399,1,1,0
3.0,14.921,381,1,1,0
3.0,14.831,327,1,1,0
3.0,14.741,369,1,1,0
3.0,14.651,366,1,1,0
3.0,14.561,357,1,1,0
3.0,14.470999999999998,333,1,1,0
3.0,14.380999999999998,366,1,1,0
3.0,14.290999999999999,516,1,1,0
3.0,14.200999999999999,417,1,1,0
3.0,14.112,354,1,1,0
3.0,14.022,330,1,1,0
3.0,13.932,360,1,1,0
3.0,13.842,387,1,1,0
3.0,13.752,402,1,1,0
3.0,13.662,282,1,1,0
3.0,13.572000000000001,348,1,1,0
3.0,13.482000000000001,342,1,1,0
3.0,13.392000000000001,345,1,1,0
3.0,13.302,375,1,1,0
