x,y,category_label,category_predict
3.0,11.0,0,1
2.91,11.0,1,1
2.82,11.0,1,1
2.73,11.0,1,1
2.64,11.0,1,1
2.55,11.0,1,1
2.46,11.0,1,2
2.37,11.0,1,1
2.28,11.0,1,1
2.19,11.0,1,1
2.1,11.0,1,1
2.01,11.0,1,1
1.92,11.0,1,1
1.83,11.0,1,1
1.74,11.0,1,1
1.65,11.0,1,1
1.56,11.0,1,1
1.47,11.0,1,1
1.38,11.0,1,1
1.29,11.0,1,1
1.2,11.0,1,1
1.11,11.0,1,1
1.02,11.0,1,1
0.93,11.0,1,1
0.84,11.0,1,1
0.75,11.0,1,1
0.66,11.0,1,1
0.57,11.0,1,1
0.48,11.0,1,1
0.39,11.0,1,1
0.3,11.0,1,1
0.21,11.0,1,1
0.12,11.0,1,1
0.03,11.0,1,1
-0.06,11.0,1,1
-0.15,11.0,1,1
-0.24,11.0,1,1
-0.33,11.0,1,1
-0.42,11.0,1,1
-0.51,11.0,1,1
-0.6,11.0,1,1
-0.69,11.0,1,1
-0.78,11.0,1,1
-0.87,11.0,1,1
-0.96,11.0,1,1
-1.05,11.0,1,1
-1.14,11.0,1,1
-1.23,11.0,1,1
-1.32,11.0,1,1
-1.41,11.0,1,1
-1.5,11.0,1,1
-1.59,11.0,1,1
-1.68,11.0,1,1
-1.77,11.0,1,1
-1.86,11.0,1,1
-1.95,11.0,1,1
-2.04,11.0,1,1
-2.13,11.0,1,1
-2.22,11.0,1,1
-2.31,11.0,1,1
-2.4,11.0,1,1
-2.49,11.0,1,1
-2.58,11.0,1,1
-2.67,11.0,1,1
-2.76,11.0,1,1
-2.85,11.0,1,1
-2.94,11.0,1,1
-3.03,11.0,1,1
-3.12,11.0,1,1
-3.21,11.0,1,1
-3.3,11.0,1,1
-3.39,11.0,1,1
-3.48,11.0,1,1
-3.57,11.0,1,1
-3.66,11.0,1,1
-3.75,11.0,1,1
-3.84,11.0,1,1
-3.93,11.0,1,1
-4.02,11.0,1,1
-4.11,11.0,1,1
-4.2,11.0,1,1
-4.29,11.0,1,1
-4.38,11.0,1,1
-4.47,11.0,1,1
-4.56,11.0,1,1
-4.65,11.0,1,1
-4.74,11.0,1,1
-4.83,11.0,1,1
-4.92,11.0,1,1
-5.01,11.0,1,1
-5.1,11.0,1,1
-5.19,11.0,1,1
-5.28,11.0,1,1
-5.37,11.0,1,1
-5.46,11.0,1,1
-5.55,11.0,1,1
-5.64,11.0,1,1
-5.73,11.0,1,1
-5.82,11.0,1,1
-5.91,11.0,1,1
-6.0,11.0,1,1
-6.0,11.0,0,1
-6.0,11.09,1,1
-6.0,11.179,1,1
-6.0,11.269,1,1
-6.0,11.357999999999999,1,1
-6.0,11.448,1,1
-6.0,11.537,1,1
-6.0,11.564,0,1
-5.9099,11.564,1,1
-5.8198,11.564,1,1
-5.7297,11.564,1,1
-5.6396,11.564,1,1
-5.5495,11.564,1,1
-5.4595,11.564,1,1
-5.3694,11.564,1,1
-5.2793,11.564,1,2
-5.1892,11.564,1,1
-5.0991,11.564,1,2
-5.0089999999999995,11.564,1,1
-4.9189,11.564,1,1
-4.8288,11.564,1,1
-4.7387,11.564,1,1
-4.6486,11.564,1,1
-4.5586,11.564,1,1
-4.4685,11.564,1,1
-4.3784,11.564,1,1
-4.2883,11.564,1,1
-4.1982,11.564,1,1
-4.1081,11.564,1,1
-4.018,11.564,1,1
-3.9279,11.564,1,1
-3.8378,11.564,1,1
-3.7477,11.564,1,1
-3.6577,11.564,1,1
-3.5676,11.564,1,1
-3.4775,11.564,1,1
-3.3874,11.564,1,1
-3.2973,11.564,1,1
-3.2072,11.564,1,1
-3.1171,11.564,1,1
-3.0269999999999997,11.564,1,2
-3.0,11.564,0,1
-3.0,11.654000000000002,1,1
-3.0,11.744000000000002,1,1
-3.0,11.834000000000001,1,1
-3.0,11.924000000000001,1,1
-3.0,12.014000000000001,1,1
-3.0,12.104000000000001,1,1
-3.0,12.194,1,1
-3.0,12.284,1,1
-3.0,12.375,1,1
-3.0,12.465,1,1
-3.0,12.555,1,1
-3.0,12.645,1,1
-3.0,12.735,1,1
-3.0,12.825,1,1
-3.0,12.915,1,1
-3.0,13.005,1,1
-3.0,13.095,1,1
-3.0,13.185,1,1
-3.0,13.275,1,1
-3.0,13.365,1,1
-3.0,13.455,1,1
-3.0,13.545,1,1
-3.0,13.635,1,1
-3.0,13.725,1,1
-3.0,13.815,1,1
-3.0,13.905,1,1
-3.0,13.995,1,1
-3.0,14.085,1,1
-3.0,14.175,1,1
-3.0,14.265,1,1
-3.0,14.355,1,1
-3.0,14.445,1,1
-3.0,14.535,1,1
-3.0,14.625,1,1
-3.0,14.716,1,1
-3.0,14.806,1,1
-3.0,14.895999999999999,1,1
-3.0,14.985999999999999,1,1
-3.0,15.075999999999999,1,1
-3.0,15.165999999999999,1,1
-3.0,15.255999999999998,1,1
-3.0,15.345999999999998,1,1
-3.0,15.436,1,1
-3.0,15.436,0,1
-3.0901,15.436,1,1
-3.1802,15.436,1,1
-3.2703,15.436,1,1
-3.3604,15.436,1,1
-3.4505,15.436,1,1
-3.5405,15.436,1,1
-3.6306,15.436,1,1
-3.7207,15.436,1,1
-3.8108,15.436,1,1
-3.9009,15.436,1,1
-3.991,15.436,1,1
-4.0811,15.436,1,1
-4.1712,15.436,1,1
-4.2613,15.436,1,1
-4.3514,15.436,1,1
-4.4414,15.436,1,1
-4.5315,15.436,1,1
-4.6216,15.436,1,1
-4.7117,15.436,1,1
-4.8018,15.436,1,1
-4.8919,15.436,1,1
-4.982,15.436,1,1
-5.0721,15.436,1,1
-5.1622,15.436,1,1
-5.2523,15.436,1,1
-5.3423,15.436,1,1
-5.4324,15.436,1,1
-5.5225,15.436,1,1
-5.6126,15.436,1,1
-5.7027,15.436,1,1
-5.7928,15.436,1,1
-5.8829,15.436,1,1
-5.973,15.436,1,1
-6.0,15.436,0,1
-6.0,15.525,1,1
-6.0,15.615,1,1
-6.0,15.704,1,1
-6.0,15.794,1,1
-6.0,15.884,1,1
-6.0,15.972999999999999,1,1
-6.0,16.0,0,1
-5.91,16.0,1,2
-5.8201,16.0,2,1
-5.7301,16.0,2,1
-5.6402,16.0,2,1
-5.5502,16.0,1,1
-5.4603,16.0,1,2
-5.3703,16.0,1,1
-5.2804,16.0,1,2
-5.1904,16.0,1,1
-5.1005,16.0,1,2
-5.0105,16.0,1,1
-4.9205,16.0,1,1
-4.8306,16.0,1,1
-4.7406,16.0,1,1
-4.6507,16.0,1,2
-4.5607,16.0,1,1
-4.4708,16.0,1,1
-4.3808,16.0,1,1
-4.2909,16.0,1,1
-4.2009,16.0,1,1
-4.1109,16.0,1,1
-4.021,16.0,1,1
-3.931,16.0,1,1
-3.8411,16.0,1,1
-3.7511,16.0,1,1
-3.6612,16.0,1,1
-3.5712,16.0,1,1
-3.4813,16.0,1,1
-3.3913,16.0,1,1
-3.3013,16.0,1,1
-3.2114,16.0,1,1
-3.1214,16.0,1,1
-3.0315,16.0,1,1
-2.9415,16.0,1,1
-2.8516,16.0,1,1
-2.7616,16.0,1,1
-2.6717,16.0,1,1
-2.5817,16.0,1,1
-2.4918,16.0,1,1
-2.4018,16.0,1,1
-2.3118,16.0,1,1
-2.2219,16.0,1,1
-2.1319,16.0,1,1
-2.042,16.0,1,1
-1.952,16.0,1,1
-1.8621,16.0,1,1
-1.7721,16.0,1,1
-1.6822,16.0,1,1
-1.5922,16.0,1,1
-1.5022,16.0,1,1
-1.4123,16.0,1,1
-1.3223,16.0,1,1
-1.2324,16.0,1,1
-1.1424,16.0,1,1
-1.0525,16.0,1,1
-0.96252,16.0,1,1
-0.87256,16.0,1,1
-0.78261,16.0,1,1
-0.69265,16.0,1,1
-0.6027,16.0,1,1
-0.51274,16.0,1,1
-0.42278999999999994,16.0,1,1
-0.33283,16.0,1,1
-0.24288,16.0,1,1
-0.15292,16.0,1,1
-0.06296900000000001,16.0,1,1
0.0,16.0,0,1
0.0,15.91,1,1
0.0,15.82,1,1
0.0,15.73,1,1
0.0,15.64,1,1
0.0,15.55,1,1
0.0,15.459000000000001,1,1
0.0,15.369000000000002,1,1
0.0,15.279000000000002,1,1
0.0,15.189,1,1
0.0,15.099,1,1
0.0,15.009,1,1
0.0,14.919,1,1
0.0,14.829,1,1
0.0,14.739,1,1
0.0,14.649000000000001,1,1
0.0,14.559000000000001,1,1
0.0,14.468,1,1
0.0,14.378,1,1
0.0,14.288,1,1
0.0,14.198,1,1
0.0,14.107999999999999,1,1
0.0,14.017999999999999,1,1
0.0,13.927999999999999,1,1
0.0,13.838,1,1
0.0,13.748,1,1
0.0,13.658,1,1
0.0,13.568,1,1
0.0,13.477,1,1
0.0,13.387,1,1
0.0,13.297,1,1
0.0,13.207,1,1
0.0,13.117,1,1
0.0,13.027000000000001,1,1
0.0,13.0,0,1
0.09009,13.0,1,1
0.18018,13.0,1,1
0.27026999999999995,13.0,1,1
0.36036,13.0,1,1
0.45045,13.0,1,2
0.5405399999999999,13.0,1,1
0.63063,13.0,1,1
0.72072,13.0,1,1
0.81081,13.0,1,1
0.9009,13.0,1,1
0.9909899999999999,13.0,1,1
1.0811,13.0,1,2
1.1712,13.0,1,1
1.2613,13.0,1,1
1.3514,13.0,1,1
1.4414,13.0,1,1
1.5315,13.0,1,1
1.6216,13.0,1,1
1.7117,13.0,1,1
1.8018,13.0,1,1
1.8919,13.0,1,1
1.982,13.0,1,2
2.0721,13.0,1,1
2.1622,13.0,1,1
2.2523,13.0,1,1
2.3423,13.0,1,2
2.4324,13.0,1,1
2.5225,13.0,1,2
2.6126,13.0,1,1
2.7027,13.0,1,2
2.7928,13.0,1,1
2.8829,13.0,1,1
2.9730000000000003,13.0,1,1
3.0,13.0,0,1
3.0,12.91,1,1
3.0,12.82,1,1
3.0,12.73,1,1
3.0,12.64,1,1
3.0,12.55,1,1
3.0,12.459000000000001,1,1
3.0,12.369000000000002,1,1
3.0,12.279000000000002,1,1
3.0,12.189,1,1
3.0,12.099,1,1
3.0,12.009,1,1
3.0,11.919,1,1
3.0,11.829,1,1
3.0,11.739,1,1
3.0,11.649000000000001,1,1
3.0,11.559000000000001,1,1
3.0,11.468,1,1
3.0,11.378,1,1
3.0,11.288,1,1
3.0,11.198,1,1
3.0,11.107999999999999,1,1
3.0,11.017999999999999,1,1
2.907,11.0,0,1
2.907,11.08,1,1
2.907,11.16,1,1
2.907,11.24,2,2
2.907,11.32,2,2
2.907,11.4,2,2
2.907,11.48,2,2
2.907,11.56,2,2
2.907,11.64,1,2
2.907,11.72,1,2
2.907,11.8,3,2
2.907,11.88,2,2
2.907,11.96,2,1
2.907,12.04,2,2
2.907,12.12,1,2
2.907,12.2,2,2
2.907,12.28,2,2
2.907,12.36,3,2
2.907,12.44,2,2
2.907,12.52,2,2
2.907,12.6,3,2
2.907,12.68,3,1
2.907,12.76,3,1
2.907,12.84,2,1
2.907,12.92,1,1
2.907,13.0,1,1
2.8139999999999996,13.0,0,1
2.8139999999999996,12.92,2,1
2.8139999999999996,12.84,2,1
2.8139999999999996,12.76,3,2
2.8139999999999996,12.68,3,2
2.8139999999999996,12.6,2,2
2.8139999999999996,12.52,2,2
2.8139999999999996,12.44,2,2
2.8139999999999996,12.36,2,2
2.8139999999999996,12.28,3,2
2.8139999999999996,12.2,2,2
2.8139999999999996,12.12,2,2
2.8139999999999996,12.04,2,2
2.8139999999999996,11.96,2,2
2.8139999999999996,11.88,1,2
2.8139999999999996,11.8,2,2
2.8139999999999996,11.72,1,2
2.8139999999999996,11.64,2,2
2.8139999999999996,11.56,2,2
2.8139999999999996,11.48,2,2
2.8139999999999996,11.4,2,2
2.8139999999999996,11.32,2,2
2.8139999999999996,11.24,2,2
2.8139999999999996,11.16,2,2
2.8139999999999996,11.08,3,2
2.8139999999999996,11.0,2,1
2.721,11.0,0,1
2.721,11.08,1,1
2.721,11.16,1,2
2.721,11.24,2,2
2.721,11.32,2,2
2.721,11.4,1,2
2.721,11.48,3,2
2.721,11.56,1,2
2.721,11.64,2,2
2.721,11.72,1,2
2.721,11.8,1,2
2.721,11.88,1,2
2.721,11.96,2,2
2.721,12.04,3,2
2.721,12.12,2,2
2.721,12.2,2,2
2.721,12.28,2,2
2.721,12.36,2,2
2.721,12.44,3,2
2.721,12.52,2,2
2.721,12.6,1,2
2.721,12.68,2,2
2.721,12.76,2,2
2.721,12.84,3,2
2.721,12.92,3,1
2.721,13.0,2,2
2.628,13.0,0,1
2.628,12.92,3,1
2.628,12.84,2,1
2.628,12.76,3,2
2.628,12.68,2,2
2.628,12.6,1,2
2.628,12.52,2,2
2.628,12.44,1,2
2.628,12.36,2,2
2.628,12.28,1,2
2.628,12.2,2,2
2.628,12.12,2,2
2.628,12.04,1,3
2.628,11.96,2,2
2.628,11.88,1,2
2.628,11.8,2,2
2.628,11.72,2,2
2.628,11.64,2,2
2.628,11.56,1,2
2.628,11.48,2,2
2.628,11.4,2,2
2.628,11.32,1,2
2.628,11.24,2,2
2.628,11.16,1,2
2.628,11.08,2,2
2.628,11.0,2,2
2.535,11.0,0,1
2.535,11.08,1,1
2.535,11.16,2,2
2.535,11.24,2,2
2.535,11.32,2,2
2.535,11.4,2,2
2.535,11.48,2,2
2.535,11.56,1,2
2.535,11.64,2,2
2.535,11.72,2,3
2.535,11.8,1,2
2.535,11.88,2,2
2.535,11.96,2,2
2.535,12.04,2,2
2.535,12.12,1,2
2.535,12.2,2,2
2.535,12.28,3,2
2.535,12.36,2,2
2.535,12.44,3,2
2.535,12.52,3,2
2.535,12.6,2,2
2.535,12.68,1,2
2.535,12.76,3,2
2.535,12.84,3,2
2.535,12.92,2,2
2.535,13.0,2,2
2.4419999999999997,13.0,0,1
2.4419999999999997,12.92,1,1
2.4419999999999997,12.84,2,1
2.4419999999999997,12.76,3,1
2.4419999999999997,12.68,3,1
2.4419999999999997,12.6,3,2
2.4419999999999997,12.52,2,2
2.4419999999999997,12.44,3,2
2.4419999999999997,12.36,3,2
2.4419999999999997,12.28,1,2
2.4419999999999997,12.2,3,2
2.4419999999999997,12.12,2,2
2.4419999999999997,12.04,1,2
2.4419999999999997,11.96,3,2
2.4419999999999997,11.88,3,2
2.4419999999999997,11.8,3,2
2.4419999999999997,11.72,2,3
2.4419999999999997,11.64,2,2
2.4419999999999997,11.56,2,2
2.4419999999999997,11.48,2,2
2.4419999999999997,11.4,3,2
2.4419999999999997,11.32,2,2
2.4419999999999997,11.24,2,2
2.4419999999999997,11.16,2,1
2.4419999999999997,11.08,3,1
2.4419999999999997,11.0,2,2
2.349,11.0,0,1
2.349,11.08,1,1
2.349,11.16,1,1
2.349,11.24,3,1
2.349,11.32,2,2
2.349,11.4,2,2
2.349,11.48,3,2
2.349,11.56,3,2
2.349,11.64,2,2
2.349,11.72,1,2
2.349,11.8,2,2
2.349,11.88,2,2
2.349,11.96,2,2
2.349,12.04,3,2
2.349,12.12,2,2
2.349,12.2,3,2
2.349,12.28,2,2
2.349,12.36,1,2
2.349,12.44,2,2
2.349,12.52,2,2
2.349,12.6,3,2
2.349,12.68,2,2
2.349,12.76,2,2
2.349,12.84,3,2
2.349,12.92,3,2
2.349,13.0,3,2
2.256,13.0,0,1
2.256,12.92,2,1
2.256,12.84,3,1
2.256,12.76,2,2
2.256,12.68,3,2
2.256,12.6,2,2
2.256,12.52,3,2
2.256,12.44,3,2
2.256,12.36,3,2
2.256,12.28,3,2
2.256,12.2,3,2
2.256,12.12,2,2
2.256,12.04,2,3
2.256,11.96,1,3
2.256,11.88,3,2
2.256,11.8,2,2
2.256,11.72,3,2
2.256,11.64,3,2
2.256,11.56,2,3
2.256,11.48,1,2
2.256,11.4,3,2
2.256,11.32,2,2
2.256,11.24,2,2
2.256,11.16,2,2
2.256,11.08,2,2
2.256,11.0,3,1
2.1630000000000003,11.0,0,1
2.1630000000000003,11.08,1,1
2.1630000000000003,11.16,2,2
2.1630000000000003,11.24,2,2
2.1630000000000003,11.32,2,2
2.1630000000000003,11.4,1,2
2.1630000000000003,11.48,3,2
2.1630000000000003,11.56,2,2
2.1630000000000003,11.64,2,2
2.1630000000000003,11.72,2,3
2.1630000000000003,11.8,3,3
2.1630000000000003,11.88,2,3
2.1630000000000003,11.96,1,3
2.1630000000000003,12.04,3,3
2.1630000000000003,12.12,2,3
2.1630000000000003,12.2,3,3
2.1630000000000003,12.28,3,2
2.1630000000000003,12.36,2,2
2.1630000000000003,12.44,2,2
2.1630000000000003,12.52,2,2
2.1630000000000003,12.6,2,2
2.1630000000000003,12.68,2,2
2.1630000000000003,12.76,3,2
2.1630000000000003,12.84,3,2
2.1630000000000003,12.92,2,1
2.1630000000000003,13.0,2,1
2.07,13.0,0,1
2.07,12.92,1,1
2.07,12.84,3,1
2.07,12.76,2,2
2.07,12.68,3,2
2.07,12.6,3,2
2.07,12.52,3,2
2.07,12.44,3,3
2.07,12.36,2,2
2.07,12.28,2,2
2.07,12.2,2,3
2.07,12.12,3,3
2.07,12.04,1,3
2.07,11.96,2,3
2.07,11.88,2,3
2.07,11.8,2,3
2.07,11.72,2,3
2.07,11.64,3,2
2.07,11.56,2,2
2.07,11.48,2,2
2.07,11.4,2,2
2.07,11.32,2,2
2.07,11.24,2,2
2.07,11.16,3,2
2.07,11.08,2,2
2.07,11.0,1,1
1.9769999999999999,11.0,0,1
1.9769999999999999,11.08,1,1
1.9769999999999999,11.16,2,2
1.9769999999999999,11.24,3,2
1.9769999999999999,11.32,3,2
1.9769999999999999,11.4,2,2
1.9769999999999999,11.48,2,2
1.9769999999999999,11.56,2,2
1.9769999999999999,11.64,2,3
1.9769999999999999,11.72,2,3
1.9769999999999999,11.8,2,3
1.9769999999999999,11.88,2,3
1.9769999999999999,11.96,2,3
1.9769999999999999,12.04,2,3
1.9769999999999999,12.12,2,3
1.9769999999999999,12.2,2,3
