image,pixel,category
0,312,1
1,417,1
2,462,1
3,477,1
4,423,1
5,270,1
6,378,1
7,369,1
8,426,1
9,363,1
10,429,1
11,369,1
12,378,1
13,363,1
14,366,1
15,402,1
16,342,1
17,363,1
18,312,1
19,372,1
20,282,1
21,444,1
22,369,1
23,375,1
24,390,1
25,435,1
26,420,1
27,351,1
28,372,1
29,390,1
30,447,1
31,429,1
32,312,1
33,387,1
34,363,1
35,345,1
36,480,1
37,411,1
38,339,1
39,360,1
40,291,1
41,360,1
42,360,1
43,372,1
44,393,1
45,342,1
46,345,1
47,288,1
48,384,1
49,387,1
50,426,1
51,423,1
52,333,1
53,357,1
54,396,1
55,279,1
56,300,1
57,291,1
58,360,1
59,438,1
60,300,1
61,393,1
62,525,1
63,387,1
64,363,1
65,360,1
66,324,1
67,309,1
68,333,1
69,291,1
70,342,1
71,360,1
72,372,1
73,327,1
74,357,1
75,330,1
76,324,1
77,339,1
78,405,1
79,357,1
80,0,0
81,363,1
82,369,1
83,309,1
84,300,1
85,357,1
86,351,1
87,336,1
88,396,1
89,399,1
90,381,1
91,327,1
92,366,1
93,357,1
94,333,1
95,366,1
96,417,1
97,354,1
98,330,1
99,360,1
100,402,1
101,282,1
102,348,1
103,342,1
104,375,1
105,447,1
106,336,1
107,393,1
108,390,1
109,405,1
110,420,1
111,381,1
112,351,1
113,417,1
114,375,1
115,438,1
116,384,1
117,369,1
118,321,1
119,363,1
120,399,1
121,306,1
122,303,1
123,282,1
124,264,1
125,0,0
126,288,1
127,426,1
128,252,1
129,363,1
130,336,1
131,393,1
132,366,1
133,393,1
134,399,1
135,384,1
136,294,1
137,396,1
138,339,1
139,345,1
140,441,1
141,483,1
142,483,1
143,417,1
144,357,1
145,324,1
146,345,1
147,504,1
148,366,1
149,312,1
150,369,1
151,357,1
152,387,1
153,396,1
154,375,1
155,396,1
156,450,1
157,405,1
158,390,1
159,339,1
160,354,1
161,366,1
162,396,1
163,471,1
164,330,1
165,474,1
166,411,1
167,399,1
168,411,1
169,405,1
170,408,1
171,357,1
172,408,1
173,450,1
174,453,1
175,375,1
176,372,1
177,501,1
178,354,1
179,471,1
180,360,1
181,456,1
182,459,1
183,408,1
184,363,1
185,471,1
186,390,1
187,453,1
188,426,1
189,372,1
190,432,1
191,369,1
192,471,1
193,480,1
194,426,1
195,381,1
196,375,1
197,480,1
198,399,1
199,435,1
200,390,1
201,306,1
202,405,1
203,483,1
204,390,1
205,411,1
206,0,0
207,402,1
208,492,1
209,498,1
210,387,1
211,525,1
212,435,1
213,432,1
214,396,1
215,381,1
216,441,1
217,474,1
218,453,1
219,384,1
220,390,1
221,390,1
222,414,1
223,327,1
224,390,1
225,417,1
226,387,1
227,393,1
228,462,1
229,522,1
230,438,1
231,519,1
232,378,1
233,372,1
234,456,1
235,390,1
236,336,1
237,480,1
238,390,1
239,456,1
240,360,1
241,549,1
242,408,1
243,372,1
244,432,1
245,474,1
246,354,1
247,453,1
248,357,1
249,492,1
250,432,1
251,0,0
252,651,1
253,627,1
254,582,1
255,609,1
256,741,2
257,651,1
258,741,2
259,780,2
260,777,2
261,633,1
262,807,2
263,693,2
264,738,2
265,633,1
266,585,1
267,621,1
268,777,2
269,720,2
270,789,2
271,738,2
272,789,2
273,705,2
274,756,2
275,705,2
276,612,1
277,768,2
278,795,2
279,609,1
280,618,1
281,666,1
282,864,3
283,681,1
284,834,2
285,765,2
286,1032,3
287,981,3
288,699,2
289,768,2
290,789,2
291,786,2
292,732,2
293,540,1
294,783,2
295,612,1
296,621,1
297,606,1
298,726,2
299,729,2
300,681,1
301,0,0
302,546,1
303,666,1
304,780,2
305,786,2
306,762,2
307,807,2
308,768,2
309,678,1
310,666,1
311,843,3
312,825,2
313,744,2
314,642,1
315,636,1
316,711,2
317,741,2
318,693,2
319,657,1
320,792,2
321,711,2
322,561,1
323,720,2
324,717,2
325,711,2
326,594,1
327,615,1
328,774,2
329,762,2
330,675,1
331,747,2
332,771,2
333,735,2
334,666,1
335,708,2
336,753,2
337,831,2
338,729,2
339,816,2
340,666,1
341,633,1
342,792,2
343,672,1
344,609,1
345,807,2
346,729,2
347,774,2
348,699,2
349,597,1
350,774,2
351,1128,3
352,522,1
353,555,1
354,690,2
355,783,2
356,717,2
357,642,1
358,717,2
359,735,2
360,675,1
361,714,2
362,747,2
363,855,3
364,795,2
365,690,2
366,774,2
367,864,3
368,822,2
369,753,2
370,774,2
371,849,3
372,723,2
373,690,2
374,732,2
375,696,2
376,723,2
377,762,2
378,753,2
379,723,2
380,858,3
381,582,1
382,675,1
383,687,1
384,753,2
385,678,1
386,747,2
387,783,2
388,699,2
389,783,2
390,765,2
391,792,2
392,690,2
393,738,2
394,702,2
395,675,1
396,768,2
397,624,1
398,741,2
399,714,2
400,771,2
401,561,1
402,0,0
403,465,1
404,810,2
405,924,3
406,816,2
407,645,1
408,855,3
409,939,3
410,756,2
411,987,3
412,852,3
413,858,3
414,729,2
415,777,2
416,903,3
417,909,3
418,729,2
419,819,2
420,672,1
421,651,1
422,681,1
423,759,2
424,795,2
425,768,2
426,723,2
427,723,2
428,744,2
429,726,2
430,540,1
431,582,1
432,597,1
433,723,2
434,714,2
435,882,3
436,975,3
437,759,2
438,843,3
439,693,2
440,756,2
441,723,2
442,759,2
443,612,1
444,630,1
445,699,2
446,768,2
447,750,2
448,612,1
449,717,2
450,729,2
451,738,2
452,0,0
453,450,1
454,585,1
455,783,2
456,588,1
457,807,2
458,774,2
459,630,1
460,870,3
461,615,1
462,765,2
463,723,2
464,741,2
465,897,3
466,813,2
467,810,2
468,744,2
469,999,3
470,741,2
471,603,1
472,684,1
473,861,3
474,738,2
475,729,2
476,762,2
477,687,1
478,774,2
479,681,1
480,822,2
481,633,1
482,759,2
483,642,1
484,678,1
485,738,2
486,777,2
487,804,2
488,762,2
489,822,2
490,618,1
491,864,3
492,882,3
493,879,3
494,747,2
495,672,1
496,669,1
497,591,1
498,702,2
499,735,2
500,708,2
501,624,1
502,600,1
503,0,0
504,549,1
505,849,3
506,1026,3
507,768,2
508,726,2
509,846,3
510,843,3
511,747,2
512,906,3
513,894,3
514,879,3
515,975,3
516,759,2
517,816,2
518,882,3
519,756,2
520,786,2
521,699,2
522,666,1
523,855,3
524,813,2
525,735,2
526,768,2
527,684,1
528,741,2
529,783,2
530,705,2
531,750,2
532,864,3
533,819,2
534,876,3
535,522,1
536,855,3
537,717,2
538,813,2
539,747,2
540,729,2
541,771,2
542,765,2
543,777,2
544,690,2
545,729,2
546,765,2
547,672,1
548,801,2
549,777,2
550,681,1
551,687,1
552,714,2
553,0,0
554,456,1
555,747,2
556,807,2
557,765,2
558,609,1
559,618,1
560,732,2
561,600,1
562,714,2
563,1014,3
564,840,3
565,777,2
566,855,3
567,876,3
568,861,3
569,981,3
570,900,3
571,735,2
572,744,2
573,588,1
574,669,1
575,663,1
576,657,1
577,825,2
578,678,1
579,819,2
580,816,2
581,747,2
582,765,2
583,696,2
584,798,2
585,798,2
586,741,2
587,720,2
588,846,3
589,753,2
590,798,2
591,789,2
592,843,3
593,804,2
594,771,2
595,747,2
596,756,2
597,612,1
598,810,2
599,759,2
600,711,2
601,684,1
602,630,1
603,735,2
604,540,1
605,678,1
606,816,2
607,756,2
608,699,2
609,870,3
610,711,2
611,960,3
612,864,3
613,735,2
614,954,3
615,978,3
616,1083,3
617,927,3
618,648,1
619,732,2
620,849,3
621,741,2
622,870,3
623,900,3
624,708,2
