					i_laser				
	-50	-37.5	-25	-12.5	0	12.5	25	37.5	50
-50	-0.137954166	-0.104512988	-0.070714241	-0.036670714	-0.002499427	0.031680389	0.065749388	0.099590098	0.133089042
-37.5	-0.13775912	-0.104218792	-0.070319941	-0.036176276	-0.001905783	0.032371344	0.066534794	0.100466259	0.134051515
-25	-0.137432978	-0.103819251	-0.069846882	-0.035630333	-0.001288282	0.033058392	0.067288751	0.101283863	0.134928886
-12.5	-0.136974753	-0.103313901	-0.069295207	-0.035033583	-0.000648151	0.033739802	0.068008936	0.102040012	0.135717885
0	-0.136384516	-0.102703187	-0.06866568	-0.034387116	0.000013199	0.034413835	0.068693347	0.102732402	0.13641584
12.5	-0.13566337	-0.101988335	-0.067959646	-0.033692392	0.000694212	0.035078841	0.069340212	0.103359193	0.137020844
25	-0.134813373	-0.101171335	-0.067179015	-0.032951222	0.001393156	0.035733205	0.069948053	0.10391903	0.137531671
37.5	-0.133837608	-0.100254915	-0.066326237	-0.032165763	0.002108215	0.036375421	0.070515684	0.104411062	0.137947846
50	-0.132740031	-0.099242655	-0.065404306	-0.031338464	0.002837442	0.037004083	0.071042279	0.104835063	0.138269691
									
					i_laser				
	-50	-37.5	-25	-12.5	0	12.5	25	37.5	50
-50	-0.113467691	-0.113853049	-0.114131126	-0.114299382	-0.114356301	-0.114301318	-0.114135008	-0.11385885	-0.113475352
-37.5	-0.085203974	-0.085494992	-0.085705056	-0.085832181	-0.085875183	-0.085833657	-0.085707994	-0.085499365	-0.08520976
-25	-0.056733961	-0.056928561	-0.057069011	-0.057154012	-0.057182766	-0.057155005	-0.057070988	-0.056931503	-0.056737841
-12.5	-0.02812537	-0.028222079	-0.028291878	-0.028334122	-0.028348414	-0.028334619	-0.028292867	-0.02822355	-0.028127311
0	0.000552404	0.000554305	0.000555677	0.000556508	0.000556788	0.000556517	0.000555697	0.000554334	0.000552443
12.5	0.0292291	0.029329602	0.029402141	0.029446046	0.0294609	0.029446568	0.029403182	0.029331151	0.029231143
25	0.05783449	0.058032861	0.058176037	0.058262692	0.058292015	0.058263731	0.058178105	0.058035939	0.057838549
37.5	0.086299298	0.086594036	0.086806804	0.086935578	0.086979158	0.086937133	0.086809898	0.086598641	0.086305347
50	0.114555994	0.114945009	0.11522573	0.115395622	0.115453137	0.115397682	0.11522983	0.114951088	0.114563997
									
					k_laser				
	-50	-37.5	-25	-12.5	0	12.5	25	37.5	50
-50	0.983917543	0.98798508	0.990945802	0.992769314	0.993436656	0.992940865	0.991287152	0.988492779	0.984586538
-37.5	0.986794157	0.990872873	0.993835877	0.995652607	0.996304081	0.99578345	0.994096203	0.991260001	0.987304152
-25	0.988884945	0.99296561	0.995923963	0.997729371	0.998362896	0.997817843	0.996099958	0.993227257	0.989229505
-12.5	0.990175177	0.994248335	0.997194938	0.998984397	0.999597893	0.999028916	0.997283459	0.994379841	0.990348176
0	0.990655823	0.994711892	0.997639572	0.999408433	0.999999845	0.999407514	0.997637667	0.994708875	0.99065151
12.5	0.99032374	0.994353133	0.997254732	0.998998375	0.999565692	0.998950637	0.99715966	0.994211527	0.990136773
25	0.989181746	0.993174984	0.996043437	0.997757323	0.998298603	0.997661504	0.995852689	0.992891064	0.988807232
37.5	0.987238535	0.991186372	0.994014793	0.995694516	0.996207901	0.995549478	0.993726109	0.990756784	0.986672073
50	0.984508511	0.988402014	0.991183791	0.992825136	0.993308875	0.992629877	0.990795176	0.987823799	0.983746199
