BL-2_x_area_827.rdf	ZoomonlyGP1_xdry-saveimages-v0700.afg	x_area	2/26/2020	17:54	2 min 3 s					
										
BL-2										
NIST										
Vipin										
IN625										
data										
PSD_~13.7g										
										
x [µm] at Q3=10.0 %	18.3									
x [µm] at Q3=50.0 %	30.6									
x [µm] at Q3=90.0 %	49									
Mv3(x) [µm]	32.2									
Sigma3(x) [µm]	11.6									
SPAN3	1.001									
U3	1.868									
Q3 (Conv=0.8)	0.00%									
Q3 (b/l=0.8)	30.70%									
Q3 (Symm=0.8)	1.30%									
Q3 (Trans=0.8)	100.00%									
Q3 (b/l=0.9) [%]	63.8									
Q3 (Conv=0.9) [%]	0									
Q3 (Trans=0.9) [%]	100									
Mean value SPHT3	0.897									
Mean value Symm3	0.92									
Mean value b/l3	0.841									
Mean value Conv3	0.991									
Mean value Trans3	0.259									
										
Size class	[µm]	p3 [%]	Q3 [%]	xFe_min3 [µm]	xc_min3 [µm]	xFe_max3 [µm]	SPHT3	b/l3	Conv3	x_mean3 [µm]
130	1000000	0	100	0	0	0	1	0	0	500065
129	130	0	100	0	0	0	1	0	0	129.5
128	129	0	100	0	0	0	1	0	0	128.5
127	128	0	100	0	0	0	1	0	0	127.5
126	127	0	100	0	0	0	1	0	0	126.5
125	126	0	100	0	0	0	1	0	0	125.5
124	125	0	100	0	0	0	1	0	0	124.5
123	124	0	100	0	0	0	1	0	0	123.5
122	123	0	100	0	0	0	1	0	0	122.5
121	122	0	100	0	0	0	1	0	0	121.5
120	121	0	100	0	0	0	1	0	0	120.5
119	120	0	100	0	0	0	1	0	0	119.5
118	119	0	100	0	0	0	1	0	0	118.5
117	118	0	100	0	0	0	1	0	0	117.5
116	117	0	100	0	0	0	1	0	0	116.5
115	116	0	100	0	0	0	1	0	0	115.5
114	115	0	100	0	0	0	1	0	0	114.5
113	114	0	100	0	0	0	1	0	0	113.5
112	113	0	100	0	0	0	1	0	0	112.5
111	112	0	100	0	0	0	1	0	0	111.5
110	111	0	100	0	0	0	1	0	0	110.5
109	110	0	100	0	0	0	1	0	0	109.5
108	109	0	100	0	0	0	1	0	0	108.5
107	108	0	100	0	0	0	1	0	0	107.5
106	107	0	100	0	0	0	1	0	0	106.5
105	106	0	100	0	0	0	1	0	0	105.5
104	105	0	100	0	0	0	1	0	0	104.5
103	104	0	100	0	0	0	1	0	0	103.5
102	103	0	100	0	0	0	1	0	0	102.5
101	102	0	100	0	0	0	1	0	0	101.5
100	101	0	100	0	0	0	1	0	0	100.5
99	100	0	100	0	0	0	1	0	0	99.5
98	99	0	100	0	0	0	1	0	0	98.5
97	98	0	100	0	0	0	1	0	0	97.5
96	97	0	100	0	0	0	1	0	0	96.5
95	96	0	100	0	0	0	1	0	0	95.5
94	95	0	100	0	0	0	1	0	0	94.5
93	94	0	100	0	0	0	1	0	0	93.5
92	93	0	100	0	0	0	1	0	0	92.5
91	92	0	100	0	0	0	1	0	0	91.5
90	91	0	100	0	0	0	1	0	0	90.5
89	90	0	100	0	0	0	1	0	0	89.5
88	89	0	100	0	0	0	1	0	0	88.5
87	88	0	100	0	0	0	1	0	0	87.5
86	87	0	100	0	0	0	1	0	0	86.5
85	86	0	100	0	0	0	1	0	0	85.5
84	85	0	100	0	0	0	1	0	0	84.5
83	84	0	100	0	0	0	1	0	0	83.5
82	83	0	100	0	0	0	1	0	0	82.5
81	82	0	100	0	0	0	1	0	0	81.5
80	81	0	100	0	0	0	1	0	0	80.5
79	80	0	100	0	0	0	1	0	0	79.5
78	79	0	100	0	0	0	1	0	0	78.5
77	78	0	100	0	0	0	1	0	0	77.5
76	77	0	100	0	0	0	1	0	0	76.5
75	76	0	100	0	0	0	1	0	0	75.5
74	75	0	100	0	0	0	1	0	0	74.5
73	74	0	100	0	0	0	1	0	0	73.5
72	73	0	100	0	0	0	1	0	0	72.5
71	72	0	100	55.5	54.4	97.7	0.788	0.557	0.983	71.2
70	71	0.1	100	57.8	55.9	96	0.749	0.583	0.973	70.6
69	70	0	99.9	57.8	56.1	84.9	0.806	0.661	0.979	69.5
68	69	0	99.9	59.8	59.5	79	0.955	0.753	0.993	68.9
67	68	0.1	99.9	50.8	49.8	96.1	0.801	0.529	0.978	67.5
66	67	0.1	99.8	57	56.1	82.5	0.845	0.692	0.983	66.5
65	66	0	99.7	57.9	57	74.4	0.878	0.768	0.985	65.2
64	65	0.1	99.7	53.8	51.8	81.2	0.814	0.644	0.975	64.7
63	64	0.2	99.6	53.1	51.8	84.3	0.795	0.624	0.98	63.4
62	63	0.2	99.4	54.7	52.6	79.1	0.784	0.679	0.962	62.4
61	62	0.2	99.2	52.2	50.2	81.2	0.758	0.625	0.967	61.6
60	61	0.2	99	55.9	54.6	71.3	0.827	0.773	0.983	60.5
59	60	0.3	98.8	51.8	50.2	73.2	0.845	0.7	0.98	59.4
58	59	0.4	98.5	52.6	51.7	71.6	0.844	0.74	0.984	58.5
57	58	0.4	98.1	51.6	50.7	69	0.857	0.746	0.985	57.5
56	57	0.7	97.7	52.1	51.5	65.7	0.869	0.798	0.988	56.5
55	56	0.7	97	51.8	51.2	63.5	0.892	0.817	0.989	55.6
54	55	0.9	96.3	50	49.6	62.4	0.891	0.807	0.989	54.5
53	54	0.8	95.4	49.5	48.8	61.5	0.879	0.803	0.988	53.5
52	53	1	94.6	48.5	47.9	60.3	0.886	0.807	0.988	52.6
51	52	0.9	93.6	48.1	47.7	58.3	0.893	0.83	0.99	51.4
50	51	1.2	92.7	46.6	46.1	57.9	0.892	0.808	0.989	50.5
49	50	1.4	91.5	46.2	45.7	56	0.892	0.826	0.99	49.5
48	49	1.3	90.1	45.3	44.8	54.8	0.904	0.827	0.99	48.5
47	48	1.2	88.8	44.3	43.8	53.6	0.907	0.826	0.99	47.5
46	47	1.4	87.6	43.3	42.8	52.5	0.9	0.826	0.99	46.5
45	46	1.5	86.2	42.2	41.8	51.5	0.899	0.822	0.989	45.5
44	45	1.8	84.7	41.7	41.4	49.5	0.918	0.843	0.991	44.5
43	44	1.7	82.9	40.8	40.3	48.8	0.904	0.834	0.988	43.5
42	43	2	81.2	39.7	39.5	47.4	0.914	0.841	0.991	42.5
41	42	2.1	79.2	38.8	38.4	46.6	0.907	0.832	0.989	41.5
40	41	2.2	77.1	37.9	37.6	45.3	0.911	0.838	0.989	40.5
39	40	2.2	74.9	36.9	36.6	44.3	0.913	0.833	0.988	39.5
38	39	2.4	72.7	35.9	35.6	43.3	0.911	0.832	0.989	38.5
37	38	2.6	70.3	35.2	34.8	41.9	0.91	0.839	0.989	37.5
36	37	2.6	67.7	34.4	34.1	40.5	0.919	0.848	0.989	36.5
35	36	2.9	65.1	33.3	33	39.7	0.912	0.839	0.987	35.5
34	35	2.7	62.2	32.4	32.1	38.4	0.913	0.844	0.988	34.5
33	34	2.8	59.5	31.3	31.1	37.3	0.917	0.84	0.987	33.5
32	33	2.8	56.7	30.6	30.4	36	0.916	0.852	0.989	32.5
31	32	2.7	53.9	29.6	29.3	35.2	0.877	0.84	0.99	31.5
30	31	3.2	51.2	28.8	28.5	34.1	0.866	0.843	0.99	30.5
29	30	3.2	48	27.7	27.4	33.1	0.86	0.837	0.99	29.5
28	29	3.2	44.8	26.8	26.6	31.8	0.867	0.841	0.99	28.5
27	28	3.1	41.6	25.9	25.6	30.8	0.867	0.84	0.99	27.5
26	27	3.3	38.5	25	24.8	29.4	0.88	0.849	0.992	26.5
25	26	3.5	35.2	24.1	23.9	28.3	0.882	0.851	0.992	25.5
24	25	3.4	31.7	23	22.8	27.2	0.883	0.847	0.992	24.5
23	24	3.4	28.3	22.1	21.9	26	0.89	0.848	0.993	23.5
22	23	3.3	24.9	21.2	21.1	24.8	0.897	0.856	0.993	22.5
21	22	3.2	21.6	20.3	20.2	23.6	0.901	0.861	0.994	21.5
20	21	3.3	18.4	19.4	19.2	22.5	0.906	0.861	0.994	20.5
19	20	3.1	15.1	18.4	18.2	21.4	0.907	0.86	0.994	19.5
18	19	2.9	12	17.4	17.3	20.2	0.912	0.863	0.995	18.5
17	18	2.5	9.1	16.5	16.4	19	0.917	0.869	0.995	17.5
16	17	2	6.6	15.6	15.5	17.9	0.92	0.87	0.996	16.5
15	16	1.4	4.6	14.6	14.6	16.8	0.926	0.873	0.996	15.5
14	15	0.9	3.2	13.7	13.7	15.6	0.935	0.883	0.997	14.5
13	14	0.7	2.3	12.7	12.7	14.5	0.931	0.877	0.997	13.5
12	13	0.4	1.6	11.8	11.8	13.4	0.931	0.882	0.997	12.5
11	12	0.3	1.2	10.8	10.7	12.4	0.935	0.872	0.997	11.5
10	11	0.2	0.9	9.7	9.7	11.3	0.929	0.864	0.997	10.5
9	10	0.2	0.7	8.8	8.8	10.2	0.939	0.866	0.998	9.5
8	9	0.1	0.5	7.8	7.8	9.1	0.941	0.866	0.998	8.5
7	8	0.1	0.4	6.9	6.9	8	0.939	0.872	0.998	7.5
6	7	0.1	0.3	5.9	5.9	6.9	0.943	0.858	0.999	6.5
5	6	0	0.2	5.1	5.1	5.7	0.945	0.888	0.999	5.5
4	5	0.1	0.2	4.1	4.1	4.7	0.947	0.876	0.999	4.6
3	4	0	0.1	3.1	3.1	3.8	0.875	0.824	0.986	3.6
2	3	0	0.1	1.9	1.9	2.5	0.871	0.786	0.996	2.3
1	2	0.1	0.1	1.4	1.4	1.7	0.959	0.833	1	1.6
0	1	0	0	0	0	0	1	0	0	0.5
